Type,SKU,Name,Published,Is featured?,Visibility in catalog,Regular price,Sale price,Manage stock?,Stock,In stock?,Images,Meta: _cvd_source,Meta: _cvd_source_product_id
simple,CV-BIZ-111555,Cortinero decorativo,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/111555/Rel-product-cover.jpeg,biznecubano,111555
simple,CV-BIZ-111556,Cortinero decorativo,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/111556/FRy-product-cover.jpeg,biznecubano,111556
simple,CV-BIZ-111682,Cesto de 12L,1,0,visible,7,,1,12,1,https://biznecubano.com/images/small/tenants/1410/products/111682/kKK-product-cover.jpeg,biznecubano,111682
simple,CV-BIZ-111683,Cesto de 12L,1,0,visible,7,,1,6,1,https://biznecubano.com/images/small/tenants/1410/products/111683/iR0-product-cover.jpeg,biznecubano,111683
simple,CV-BIZ-111684,Cesto de 12L,1,0,visible,7,,1,12,1,https://biznecubano.com/images/small/tenants/1410/products/111684/Q4g-product-cover.jpeg,biznecubano,111684
simple,CV-BIZ-112434,Licuadora MLD 999,1,0,visible,35,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/112434/SAF-product-cover.jpeg,biznecubano,112434
simple,CV-BIZ-112435,Licuadora ML 602,1,0,visible,45,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/112435/1j4-product-cover.jpeg,biznecubano,112435
simple,CV-BIZ-112438,Azulejo INCEFRA,1,0,visible,35,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/112438/3QY-product-cover.jpeg,biznecubano,112438
simple,CV-BIZ-112525,Sartén 16 cm,1,0,visible,14,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/112525/0jw-product-cover.jpeg,biznecubano,112525
simple,CV-BIZ-112531,Espumadera,1,0,visible,6,,1,4,1,https://biznecubano.com/images/small/tenants/1410/products/112531/m5w-product-cover.jpeg,biznecubano,112531
simple,CV-BIZ-112532,Cortina decorativa Vienna,1,0,visible,24,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/112532/IEW-product-cover.jpeg,biznecubano,112532
simple,CV-BIZ-112533,Juego de ollas,1,0,visible,50,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/112533/WCp-product-cover.jpeg,biznecubano,112533
simple,CV-BIZ-112572,Grifo para fregadero doble cuello de cisne GP 1322,1,0,visible,15,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/112572/7YI-product-cover.jpeg,biznecubano,112572
